movie,year,rating,genre,imdb,votes,grosses,runtime_min
Dumb and Dumber,1994,,[''],7.3,348078.0,127175354.0,107
Superbad,2007,R,['Comedy'],7.6,512516.0,121463226.0,113
We're the Millers,2013,R,"['Comedy', ' Crime']",7.0,396313.0,150394119.0,110
Sword Art Online,12– ,,[''],7.6,34264.0,,24
My Cousin Vinny,1992,R,"['Comedy', ' Crime']",7.6,104502.0,52929168.0,120
Bewitched,1972,,[''],7.5,16394.0,,25
Scary Movie,2000,R,['Comedy'],6.2,228856.0,157019771.0,88
The Lobster,2015,R,"['Comedy', ' Drama', ' Romance']",7.2,211141.0,8699235.0,119
Sweet Home Alabama,2002,PG-13,"['Comedy', ' Romance']",6.2,100866.0,127223418.0,108
Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,508093.0,250690539.0,98
Atlanta,16– ,,[''],8.6,48950.0,,30
Unbreakable Kimmy Schmidt,2019,,[''],7.6,61651.0,,30
Ballers,2019,,[''],7.6,37119.0,,30
The 40 Year Old Virgin,2005,R,"['Comedy', ' Romance']",7.1,388904.0,109449237.0,116
Without a Paddle,2004,PG-13,"['Adventure', ' Comedy', ' Mystery']",5.9,43832.0,58169327.0,95
Saikojiman Gwaenchanha,2020,,[''],9.0,4645.0,,70
The Wrong Missy,2020,,[''],5.7,29197.0,,90
Matilda,1996,PG,"['Comedy', ' Family', ' Fantasy']",6.9,124275.0,33084249.0,98
Santa Clarita Diet,2019,,[''],7.8,54883.0,,30
The Grand Tour,16– ,,[''],8.7,61253.0,,60
Spaceballs,1987,,[''],7.1,169200.0,38119483.0,96
The Intouchables,2011,R,"['Biography', ' Comedy', ' Drama']",8.5,739172.0,13182281.0,112
Dodgeball: A True Underdog Story,2004,PG-13,"['Comedy', ' Sport']",6.7,225994.0,114326736.0,92
Pretty in Pink,1986,,[''],6.8,73108.0,40471663.0,97
Christopher Robin,2018,PG,"['Comedy', ' Drama', ' Family']",7.3,66399.0,99215042.0,104
Marry Me,2021,PG-13,"['Comedy', ' Music', ' Romance']",,,,0
Lethal Weapon,2019,,[''],7.9,34552.0,,44
Kill Me Three Times,2014,R,"['Action', ' Comedy', ' Crime']",5.9,19836.0,23840.0,90
The Longest Yard,2005,PG-13,"['Comedy', ' Crime', ' Sport']",6.4,159788.0,158119460.0,113
He's Just Not That Into You,2009,PG-13,"['Comedy', ' Drama', ' Romance']",6.4,160015.0,93953653.0,129
8 Simple Rules... for Dating My Teenage Daughter,2005,,[''],7.0,23576.0,,30
Anomalisa,2015,R,"['Animation', ' Comedy', ' Drama']",7.3,64495.0,3759286.0,90
Beverly Hills Cop,1984,,[''],7.3,159998.0,234760478.0,105
Cat Ballou,1965,,[''],6.8,13085.0,20666667.0,97
Mulan II,ideo,,[''],5.7,21986.0,,79
A Nice Girl Like You,2020,R,"['Comedy', ' Romance']",5.1,1224.0,,94
21 Jump Street,2012,R,"['Action', ' Comedy', ' Crime']",7.2,503201.0,138447667.0,109
Instant Family,2018,PG-13,"['Comedy', ' Drama']",7.3,77682.0,67363237.0,118
Office Space,1999,R,['Comedy'],7.7,238154.0,10824921.0,89
Heathers,1989,,[''],7.2,86450.0,1108462.0,103
Jessie,2015,,[''],5.9,12192.0,,30
Saturday Night Live,75– ,,[''],8.1,41777.0,,90
Old School,2003,R,['Comedy'],7.1,212175.0,75585093.0,88
Babyteeth,2019,,[''],7.0,4767.0,,118
Victorious,2013,,[''],6.9,19340.0,,30
American Pie Presents: Girls' Rules,2020,R,['Comedy'],,,,0
Blended,2014,PG-13,"['Comedy', ' Romance']",6.5,116233.0,46294610.0,117
Crazy Ex-Girlfriend,2019,,[''],7.8,16256.0,,42
Trailer Park Boys,2018,,[''],8.4,36376.0,,30
The Girl Next Door,2004,R,"['Comedy', ' Drama', ' Romance']",6.7,198796.0,14589444.0,109
Napoleon Dynamite,2004,PG,['Comedy'],6.9,195320.0,44540956.0,96
Last Tango in Halifax,2020,,[''],8.3,4799.0,,60
Men in Black: International,2019,PG-13,"['Action', ' Adventure', ' Comedy']",5.6,104071.0,80001807.0,114
Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",7.6,240653.0,608581744.0,118
Zombieland,2009,R,"['Adventure', ' Comedy', ' Fantasy']",7.6,512012.0,75590286.0,88
King of the Hill,2010,,[''],7.3,44571.0,,30
Aladdin,1992,,[''],8.0,365298.0,217350219.0,90
Better Things,16– ,,[''],7.8,11645.0,,22
The Waterboy,1998,PG-13,"['Comedy', ' Sport']",6.1,146247.0,161491646.0,90
"I, Tonya",2017,R,"['Biography', ' Comedy', ' Drama']",7.5,174267.0,30014539.0,119
The Princess and the Frog,2009,,[''],7.1,121119.0,104400899.0,97
"Monsters, Inc.",2001,G,"['Animation', ' Adventure', ' Comedy']",8.0,797248.0,289916256.0,92
Last Christmas,2019,PG-13,"['Comedy', ' Drama', ' Romance']",6.5,38745.0,,103
Mamma Mia!,2008,PG-13,"['Comedy', ' Musical', ' Romance']",6.4,211223.0,144130063.0,108
Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",7.1,297153.0,216648740.0,118
Benidorm,2018,,[''],7.4,3698.0,,30
Future Man,2020,,[''],7.7,20381.0,,30
Nurse Jackie,2015,,[''],7.7,24288.0,,27
Silver Linings Playbook,2012,R,"['Comedy', ' Drama', ' Romance']",7.7,652232.0,132092958.0,122
Fighting with My Family,2019,PG-13,"['Biography', ' Comedy', ' Drama']",7.1,63132.0,22958886.0,108
Bunk'd,2021,,[''],5.4,2316.0,,30
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,['Comedy'],7.3,347531.0,128505958.0,84
Caddyshack,1980,,[''],7.3,103232.0,39846344.0,98
National Lampoon's Animal House,1978,,[''],7.5,110223.0,201747.0,109
Lake Placid,1999,R,"['Action', ' Comedy', ' Horror']",5.7,54155.0,31770414.0,82
Moonrise Kingdom,2012,PG-13,"['Comedy', ' Drama', ' Romance']",7.8,312470.0,45512466.0,94
13 Going on 30,2004,PG-13,"['Comedy', ' Fantasy', ' Romance']",6.2,162827.0,57231747.0,98
Girls,2017,,[''],7.3,64339.0,,28
Made in Italy,2020,R,['Comedy'],5.6,1740.0,,94
Casino Royale,1967,,[''],5.2,26685.0,,131
Tangled,2010,PG,"['Animation', ' Adventure', ' Comedy']",7.7,397161.0,200821936.0,100
The Jesus Rolls,2019,R,"['Comedy', ' Crime', ' Drama']",4.3,2281.0,,85
Descendants,ovie,,[''],6.3,15364.0,,112
The Wedding Planner,2001,PG-13,"['Comedy', ' Romance']",5.3,74865.0,60400856.0,103
Murder Mystery,2019,PG-13,"['Action', ' Comedy', ' Crime']",6.0,95963.0,,97
Insecure,16– ,,[''],7.9,11886.0,,30
The New Guy,2002,PG-13,['Comedy'],5.9,33317.0,28972187.0,88
Phineas and Ferb the Movie: Candace Against the Universe,2020,,[''],7.3,1873.0,,86
Magic Mike,2012,R,"['Comedy', ' Drama']",6.1,129658.0,113721571.0,110
Little Miss Sunshine,2006,R,"['Comedy', ' Drama']",7.8,432892.0,59891098.0,101
Jay and Silent Bob Reboot,2019,R,['Comedy'],5.7,17920.0,,105
Bring It On,2000,PG-13,"['Comedy', ' Romance', ' Sport']",6.0,86004.0,68379000.0,98
Shaun of the Dead,2004,R,"['Comedy', ' Horror']",7.9,503475.0,13542874.0,99
Fear and Loathing in Las Vegas,1998,R,"['Adventure', ' Comedy', ' Drama']",7.6,255636.0,10680275.0,118
Rifkin's Festival,2020,,[''],7.9,43.0,,92
Sleepless in Seattle,1993,PG,"['Comedy', ' Drama', ' Romance']",6.8,156877.0,126533006.0,105
Amélie,2001,R,"['Comedy', ' Romance']",8.3,692051.0,33225499.0,122
Tropic Thunder,2008,R,"['Action', ' Comedy', ' War']",7.0,372646.0,110515313.0,107
Holes,2003,PG,"['Adventure', ' Comedy', ' Drama']",7.0,76091.0,67406573.0,117
The New Legends of Monkey,18– ,,[''],6.5,3270.0,,24
Kick-Ass 2,2013,R,"['Action', ' Comedy', ' Crime']",6.5,251351.0,28795985.0,103
The Devil Wears Prada,2006,PG-13,"['Comedy', ' Drama']",6.9,363513.0,124740460.0,109
Kindergarten Cop,1990,,[''],6.1,133824.0,91457688.0,111
Adaptation.,2002,R,"['Comedy', ' Drama']",7.7,174884.0,22245861.0,115
Life in Pieces,2019,,[''],8.0,12208.0,,22
Mid90s,2018,R,"['Comedy', ' Drama']",7.4,45155.0,7362439.0,85
This Is the End,2013,R,['Comedy'],6.6,378941.0,101470202.0,107
Boston Legal,2008,,[''],8.4,41791.0,,44
Up,2009,PG,"['Animation', ' Adventure', ' Comedy']",8.2,914256.0,293004164.0,96
People Will Talk,1951,,[''],7.4,5657.0,,110
Cry-Baby,1990,PG-13,"['Comedy', ' Musical']",6.5,54014.0,8266343.0,85
The Prom,2020,PG-13,"['Comedy', ' Musical']",,,,0
Ash vs Evil Dead,2018,,[''],8.4,63118.0,,30
Fuller House,2020,,[''],6.8,24226.0,,30
EverAfter,1998,PG-13,"['Comedy', ' Drama', ' Romance']",7.0,68176.0,65705771.0,121
The Parent Trap,1998,PG,"['Adventure', ' Comedy', ' Drama']",6.5,118008.0,66308518.0,128
Toy Story 3,2010,,[''],8.3,741760.0,415004880.0,103
