movie,year,rating,genre,imdb,votes,grosses,runtime_min
Scott Pilgrim vs. the World,2010,PG-13,"['Action', ' Comedy', ' Fantasy']",7.5,370210.0,31494270.0,112
Coastal Elites,cial,,[''],6.1,571.0,,0
Scrubs,2010,,[''],8.3,233241.0,,22
Not Another Teen Movie,2001,R,['Comedy'],5.7,95896.0,38252284.0,89
Why Women Kill,19– ,,[''],8.3,9193.0,,0
Charlie and the Chocolate Factory,2005,PG,"['Adventure', ' Comedy', ' Family']",6.6,418180.0,206459076.0,115
Fleabag,2019,,[''],8.7,85400.0,,27
Bad Boys for Life,2020,R,"['Action', ' Comedy', ' Crime']",6.6,114020.0,204417855.0,124
Dead to Me,19– ,,[''],8.0,49827.0,,30
Charlie's Angels,2019,PG-13,"['Action', ' Adventure', ' Comedy']",4.8,50848.0,,118
The Great,20– ,,[''],8.1,12627.0,,0
Guardians of the Galaxy,2014,PG-13,"['Action', ' Adventure', ' Comedy']",8.0,1025633.0,333176600.0,121
The Sleepover,2020,,[''],5.5,5534.0,,100
Bill & Ted's Bogus Journey,1991,,[''],6.3,66253.0,38037513.0,93
Star Trek: Lower Decks,20– ,,[''],6.0,3444.0,,0
Upload,20– ,,[''],8.0,31917.0,,30
Monk,2009,,[''],8.0,63692.0,,44
American Psycho,2000,R,"['Comedy', ' Crime', ' Drama']",7.6,475624.0,15070285.0,101
Curb Your Enthusiasm,00– ,,[''],8.7,99092.0,,28
Desperate Housewives,2012,,[''],7.5,113017.0,,45
Frasier,2004,,[''],8.0,71912.0,,22
Beetlejuice,1988,PG,"['Comedy', ' Fantasy']",7.5,252814.0,73707461.0,92
Malcolm in the Middle,2006,,[''],8.0,114432.0,,22
Mom,13– ,,[''],7.2,27333.0,,30
The Big Lebowski,1998,R,"['Comedy', ' Crime', ' Sport']",8.1,716370.0,17498804.0,117
Castle,2016,,[''],8.1,138369.0,,43
GLOW,17– ,,[''],8.0,38495.0,,35
Princess Bride,20– ,,[''],7.8,292.0,,0
Clone High,2003,,[''],8.1,5914.0,,0
The Orville,17– ,,[''],8.0,57137.0,,44
Jumanji: Welcome to the Jungle,2017,PG-13,"['Action', ' Adventure', ' Comedy']",6.9,310094.0,404515480.0,119
Harley Quinn,19– ,,[''],8.5,10656.0,,23
The Goldbergs,13– ,,[''],8.1,30274.0,,22
Bob's Burgers,11– ,,[''],8.1,62574.0,,22
Hustlers,2019,R,"['Comedy', ' Crime', ' Drama']",6.3,77886.0,80553967.0,110
Young Sheldon,17– ,,[''],7.4,31534.0,,30
Boku no hîrô akademia,16– ,,[''],8.5,29239.0,,24
Jane the Virgin,2019,,[''],7.8,36645.0,,60
Моана,2016,PG,"['Animation', ' Adventure', ' Comedy']",7.6,262333.0,248757044.0,107
In the Dark,19– ,,[''],7.4,5374.0,,42
Frozen II,2019,PG,"['Animation', ' Adventure', ' Comedy']",6.9,124783.0,477373578.0,103
She's All That,1999,PG-13,"['Comedy', ' Romance']",5.9,83142.0,63366989.0,95
Sex and the City,2004,,[''],7.1,103433.0,,30
Pitch Perfect,2012,PG-13,"['Comedy', ' Music', ' Romance']",7.2,272422.0,65001093.0,112
Irresistible,2020,R,"['Comedy', ' Drama']",6.2,7008.0,,101
Back to the Future Part II,1989,,[''],7.8,469653.0,118500000.0,108
Letterkenny,16– ,,[''],8.7,12106.0,,30
I Hate Suzie,20– ,,[''],6.6,825.0,,45
Chuck,2012,,[''],8.2,125716.0,,43
Guns Akimbo,2019,R,"['Action', ' Comedy', ' Thriller']",6.3,31964.0,,98
Monster Problems,2020,PG-13,"['Adventure', ' Comedy']",,,,0
Grace and Frankie,15– ,,[''],8.3,37157.0,,30
A.P. Bio,18– ,,[''],7.3,9082.0,,21
The O.C.,2007,,[''],7.5,79571.0,,44
Guardians of the Galaxy Vol. 2,2017,PG-13,"['Action', ' Adventure', ' Comedy']",7.6,552532.0,389813101.0,136
"Three Billboards Outside Ebbing, Missouri",2017,R,"['Comedy', ' Crime', ' Drama']",8.2,413973.0,54513740.0,115
The Personal History of David Copperfield,2019,PG,"['Comedy', ' Drama']",6.4,8047.0,,119
Two Weeks to Live,20– ,,[''],6.7,760.0,,0
The King's Man,2021,R,"['Action', ' Adventure', ' Comedy']",,,,0
Shameless,2013,,[''],8.0,14529.0,,90
Mean Girls,2004,PG-13,['Comedy'],7.0,326042.0,86058055.0,97
Good Witch,15– ,,[''],7.3,6943.0,,48
Galaxy Quest,1999,PG,"['Adventure', ' Comedy', ' Sci-Fi']",7.3,146430.0,71583916.0,102
Parenthood,2015,,[''],8.2,29933.0,,60
The Avengers,1969,,[''],8.2,6554.0,,60
Vivarium,2019,R,"['Comedy', ' Horror', ' Mystery']",5.8,30258.0,,97
Peggy Sue Got Married,1986,,[''],6.3,32242.0,41382841.0,103
The VelociPastor,2018,,[''],5.1,2975.0,,75
The Breakfast Club,1985,,[''],7.8,350212.0,45875171.0,97
The Rookie,18– ,,[''],8.1,17586.0,,43
M*A*S*H,1983,,[''],8.4,49318.0,,25
Booksmart,2019,R,['Comedy'],7.2,86026.0,22680962.0,102
Ferris Bueller's Day Off,1986,,[''],7.8,314873.0,70136369.0,103
Married with Children,1997,,[''],8.0,95032.0,,22
Hoops,20– ,,[''],6.0,2890.0,,0
A Simple Favor,2018,R,"['Comedy', ' Crime', ' Drama']",6.8,120831.0,53548586.0,117
Charlie's Angels,2000,PG-13,"['Action', ' Adventure', ' Comedy']",5.5,174069.0,125305545.0,98
Trinkets,2020,,[''],7.1,5751.0,,30
The Ranch,2020,,[''],7.5,32571.0,,30
Hunter x Hunter,2014,,[''],8.9,48524.0,,24
Green Book,2018,PG-13,"['Biography', ' Comedy', ' Drama']",8.2,345435.0,85080171.0,130
Coming 2 America,2020,,[''],,,,0
American Pie,1999,R,['Comedy'],7.0,370802.0,102561004.0,95
Cheers,1993,,[''],7.8,46837.0,,22
White Collar,2014,,[''],8.2,116082.0,,40
The Game,2015,,[''],6.7,3834.0,,21
Sex Drive,2008,R,"['Comedy', ' Romance']",6.5,82957.0,8402485.0,109
Onward,2020,PG,"['Animation', ' Adventure', ' Comedy']",7.4,79287.0,61555145.0,102
Emma.,2020,PG,"['Comedy', ' Drama', ' Romance']",6.7,20492.0,,124
Captain Fantastic,2016,R,"['Comedy', ' Drama']",7.9,182981.0,5875006.0,118
Lady Bird,2017,R,"['Comedy', ' Drama']",7.4,230559.0,48958273.0,94
American Dad!,05– ,,[''],7.3,114452.0,,22
The Mighty Ducks,1992,PG,"['Comedy', ' Drama', ' Family']",6.5,57458.0,50752337.0,104
Scoob!,2020,PG,"['Animation', ' Adventure', ' Comedy']",5.7,15349.0,,93
Se busca papá,2020,,[''],5.7,455.0,,102
Dazed and Confused,1993,R,['Comedy'],7.6,161992.0,7993039.0,102
Zombieland: Double Tap,2019,R,"['Action', ' Adventure', ' Comedy']",6.7,127850.0,26803104.0,99
Silicon Valley,2019,,[''],8.5,122423.0,,28
Good Omens,2019,,[''],8.1,54196.0,,60
Last Man Standing,11– ,,[''],7.6,28520.0,,30
Yesterday,2019,PG-13,"['Comedy', ' Fantasy', ' Music']",6.8,106444.0,73286650.0,116
Logan Lucky,2017,PG-13,"['Comedy', ' Crime', ' Drama']",7.0,125519.0,27780977.0,118
Sonic the Hedgehog,2020,PG,"['Action', ' Adventure', ' Comedy']",6.5,76244.0,146066470.0,99
Clueless,1995,PG-13,"['Comedy', ' Romance']",6.8,179051.0,56631572.0,97
Private Practice,2013,,[''],6.6,21839.0,,60
Superstore,15– ,,[''],7.8,20208.0,,22
Emily in Paris,20– ,,[''],,,,30
Modern Love,19– ,,[''],8.0,16732.0,,32
Parenthood,1989,,[''],7.0,44157.0,100047830.0,124
Toy Story 4,2019,G,"['Animation', ' Adventure', ' Comedy']",7.8,190854.0,434038008.0,100
Night School,2018,PG-13,['Comedy'],5.6,33404.0,77339130.0,111
Entourage,2011,,[''],8.4,156623.0,,28
Everybody Loves Raymond,2005,,[''],7.1,62428.0,,22
Coneheads,1993,PG,"['Comedy', ' Sci-Fi']",5.3,50090.0,21274717.0,88
30 Rock,2013,,[''],8.2,109828.0,,22
Shazam!,2019,PG-13,"['Action', ' Adventure', ' Comedy']",7.1,242555.0,140371656.0,132
Sing,2016,PG,"['Animation', ' Comedy', ' Family']",7.1,130226.0,270395425.0,108
Six Feet Under,2005,,[''],8.7,118261.0,,55
Dead Poets Society,1989,,[''],8.1,412756.0,95860116.0,128
Mamma Mia! Here We Go Again,2018,PG-13,"['Comedy', ' Musical', ' Romance']",6.6,76378.0,120634935.0,114
Big Mouth,17– ,,[''],8.0,50276.0,,30
Dolittle,2020,PG,"['Adventure', ' Comedy', ' Family']",5.6,40205.0,77047065.0,101
Coming to America,1988,,[''],7.0,160905.0,128152300.0,116
The Grand Budapest Hotel,2014,R,"['Adventure', ' Comedy', ' Crime']",8.1,689834.0,59100318.0,99
Being John Malkovich,1999,R,"['Comedy', ' Drama', ' Fantasy']",7.7,306439.0,22858926.0,113
The Ballad of Buster Scruggs,2018,R,"['Comedy', ' Drama', ' Musical']",7.3,115990.0,,133
Ratatouille,2007,G,"['Animation', ' Adventure', ' Comedy']",8.0,626478.0,206445654.0,111
My Best Friend's Wedding,1997,PG-13,"['Comedy', ' Drama', ' Romance']",6.3,126436.0,127120029.0,105
The Truman Show,1998,PG,"['Comedy', ' Drama', ' Sci-Fi']",8.1,914112.0,125618201.0,103
The School of Rock,2003,PG-13,"['Comedy', ' Music']",7.1,263327.0,81261177.0,109
Weeds,2012,,[''],7.9,101247.0,,28
The Man from U.N.C.L.E.,2015,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,263701.0,45445109.0,116
La La Land,2016,PG-13,"['Comedy', ' Drama', ' Music']",8.0,490097.0,151101803.0,128
Weird Science,1985,,[''],6.6,78593.0,23834048.0,94
Free Guy,2020,,[''],,,,0
Younger,15– ,,[''],7.8,16616.0,,22
Doc Martin,04– ,,[''],8.3,11965.0,,46
10 Things I Hate About You,1999,PG-13,"['Comedy', ' Drama', ' Romance']",7.3,290891.0,38176108.0,97
The Addams Family,1991,,[''],6.9,127940.0,113502000.0,99
Marriage Story,2019,R,"['Comedy', ' Drama', ' Romance']",8.0,229697.0,2000000.0,137
Family Business,19– ,,[''],7.3,1351.0,,0
Boyz in the Wood,2019,R,"['Action', ' Comedy', ' Horror']",6.2,3086.0,,87
Hercules,1997,,[''],7.3,201112.0,99046791.0,93
Home Alone,1990,,[''],7.6,452796.0,285761243.0,103
Boy Meets World,2000,,[''],8.1,38142.0,,23
My Spy,2020,PG-13,"['Action', ' Comedy', ' Family']",6.3,17739.0,,99
The Kissing Booth,2018,,[''],6.0,62154.0,,105
Bridesmaids,2011,R,"['Comedy', ' Romance']",6.8,263581.0,169106725.0,125
The Binge,2020,,[''],5.0,1811.0,,98
