movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
Snowpiercer,2013,R,"['Action', ' Drama', ' Sci-Fi']",7.1,84,308915,4563650.0,71,126
Vivarium,2019,R,"['Comedy', ' Horror', ' Mystery']",5.8,64,30257,,58,97
The Avengers,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",8.0,69,1243444,623279547.0,80,143
Divergent,2014,PG-13,"['Action', ' Adventure', ' Mystery']",6.7,48,419661,150947895.0,67,139
Доктор Стрэндж,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",7.5,72,580957,232641920.0,75,115
Iron Man,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.9,79,922852,318412101.0,79,126
Wonder Woman,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",7.4,76,537860,412563408.0,74,141
Gemini Man,2019,PG-13,"['Action', ' Drama', ' Sci-Fi']",5.7,38,77028,20552372.0,57,117
Star Wars,1977,PG,"['Action', ' Adventure', ' Fantasy']",8.6,90,1207111,322740140.0,86,121
Dark Phoenix,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.8,43,147582,65845974.0,58,113
The Terminator,1984,,"['Action', ' Sci-Fi']",8.0,84,786560,38400000.0,80,107
Underwater,2020,PG-13,"['Action', ' Horror', ' Sci-Fi']",5.8,48,49887,,58,95
A Quiet Place,2018,PG-13,"['Drama', ' Horror', ' Sci-Fi']",7.5,82,393272,188024361.0,75,90
Sputnik,2020,,"['Drama', ' Horror', ' Sci-Fi']",6.3,61,7482,,63,113
Batman v Superman: Dawn of Justice,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.4,44,614044,330360194.0,64,152
Sonic the Hedgehog,2020,PG,"['Action', ' Adventure', ' Comedy']",6.5,47,76240,146066470.0,65,99
Donnie Darko,2001,R,"['Drama', ' Mystery', ' Sci-Fi']",8.0,88,729656,1480006.0,80,113
Logan,2017,R,"['Action', ' Drama', ' Sci-Fi']",8.1,77,629974,226277068.0,81,137
Rogue One,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.8,65,540189,532177324.0,78,133
The Fifth Element,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.7,52,426834,63540020.0,77,126
Her,2013,R,"['Drama', ' Romance', ' Sci-Fi']",8.0,90,525913,25568251.0,80,126
Close Encounters of the Third Kind,1977,,"['Drama', ' Sci-Fi']",7.6,90,181053,132088635.0,76,138
Coneheads,1993,PG,"['Comedy', ' Sci-Fi']",5.3,49,50090,21274717.0,53,88
Star Wars: Episode I - The Phantom Menace,1999,PG,"['Action', ' Adventure', ' Fantasy']",6.5,51,714806,474544677.0,65,136
The Shape of Water,2017,R,"['Adventure', ' Drama', ' Fantasy']",7.3,87,358971,63859435.0,73,123
Captain America: Civil War,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.8,75,646573,408084349.0,78,147
Man of Steel,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.0,55,680296,291045518.0,70,143
Valerian and the City of a Thousand Planets,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",6.5,51,158233,41189488.0,65,136
Spider-Man,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.3,73,676685,403706375.0,73,121
The Truman Show,1998,PG,"['Comedy', ' Drama', ' Sci-Fi']",8.1,90,914104,125618201.0,81,103
Weird Science,1985,,"['Comedy', ' Romance', ' Sci-Fi']",6.6,46,78592,23834048.0,66,94
Alien: Covenant,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",6.4,65,248867,74262031.0,64,122
Annihilation,2018,R,"['Adventure', ' Drama', ' Horror']",6.8,79,272632,32732301.0,68,115
The Wolverine,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.7,61,423317,132556852.0,67,126
E.T. the Extra-Terrestrial,1982,PG,"['Family', ' Sci-Fi']",7.8,91,363809,435110554.0,78,115
Under the Skin,2013,R,"['Drama', ' Horror', ' Sci-Fi']",6.3,80,126582,2605039.0,63,108
Total Recall,1990,,"['Action', ' Sci-Fi', ' Thriller']",7.5,57,296567,119394840.0,75,113
Transformers,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.0,61,590176,319246193.0,70,144
Ex Machina,2014,R,"['Drama', ' Sci-Fi', ' Thriller']",7.7,78,464049,25442958.0,77,108
Solo: A Star Wars Story,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.9,62,279630,213767512.0,69,135
Terminator 2: Judgment Day,1991,R,"['Action', ' Sci-Fi']",8.5,75,977582,204843350.0,85,137
2001: A Space Odyssey,1968,,"['Adventure', ' Sci-Fi']",8.3,84,589928,56954992.0,83,149
The Martian,2015,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",8.0,80,743036,228433663.0,80,144
X-Men,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.4,64,563097,157299717.0,74,104
Starship Troopers,1997,R,"['Action', ' Adventure', ' Sci-Fi']",7.2,51,265224,54814377.0,72,129
Edge of Tomorrow,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.9,71,587714,100206256.0,79,113
Aliens,1986,R,"['Action', ' Adventure', ' Sci-Fi']",8.3,84,641204,85160248.0,83,137
Event Horizon,1997,R,"['Horror', ' Sci-Fi', ' Thriller']",6.7,35,155987,26673242.0,67,96
V for Vendetta,2005,R,"['Action', ' Drama', ' Sci-Fi']",8.2,62,1012282,70511035.0,82,132
Possessor,2020,,"['Horror', ' Sci-Fi', ' Thriller']",6.3,69,1868,,63,103
X-Men: Apocalypse,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.9,52,385871,155442489.0,69,144
The Thing,1982,,"['Horror', ' Mystery', ' Sci-Fi']",8.1,57,361438,13782838.0,81,109
Looper,2012,R,"['Action', ' Drama', ' Sci-Fi']",7.4,84,527350,66486205.0,74,113
Iron Man Three,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.2,62,741533,409013994.0,72,130
Color Out of Space,2019,,"['Horror', ' Mystery', ' Sci-Fi']",6.2,70,25703,,62,111
Jurassic World: Fallen Kingdom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.2,51,257766,417719760.0,62,128
Upgrade,2018,R,"['Action', ' Sci-Fi', ' Thriller']",7.5,67,149931,11977130.0,75,100
Jurassic World,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.0,59,570568,652270625.0,70,124
The Hunger Games: Catching Fire,2013,PG-13,"['Action', ' Adventure', ' Mystery']",7.5,76,604178,424668047.0,75,146
About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",7.8,55,290826,15322921.0,78,123
Captain America: The Winter Soldier,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.7,70,721004,259766572.0,77,136
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",7.0,84,549471,620181382.0,70,152
Ant-Man,2015,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,64,555618,180202163.0,73,117
