movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
The Last Shift,2020,R,"['Comedy', ' Drama']",6.3,66,42,,63,90
Austenland,2013,PG-13,"['Comedy', ' Romance']",6.3,42,19007,2151202.0,63,97
Going in Style,2017,PG-13,"['Comedy', ' Crime']",6.6,50,75028,45003463.0,66,96
Mermaids,1990,,"['Comedy', ' Drama', ' Romance']",6.7,56,28138,35419397.0,67,110
Herbie Fully Loaded,2005,,"['Adventure', ' Comedy', ' Family']",4.8,47,44513,66023816.0,48,101
Angels in the Outfield,1994,PG,"['Comedy', ' Family', ' Fantasy']",6.2,44,28682,50236831.0,62,102
North Dallas Forty,1979,,"['Comedy', ' Drama', ' Sport']",6.9,80,4608,26079312.0,69,119
Anger Management,2003,PG-13,['Comedy'],6.3,52,200751,135645823.0,63,106
"South Park: Bigger, Longer & Uncut",1999,R,"['Animation', ' Comedy', ' Fantasy']",7.7,73,190155,52037603.0,77,81
Fools Rush In,1997,PG-13,"['Comedy', ' Drama', ' Romance']",6.1,37,32116,29291566.0,61,109
Repo Man,1984,,"['Action', ' Comedy', ' Crime']",6.9,82,33230,3569083.0,69,92
It Happened One Night,1934,,"['Comedy', ' Romance']",8.1,87,91695,4360000.0,81,105
Crossroads,2002,PG-13,"['Comedy', ' Drama', ' Romance']",3.5,27,38088,37191304.0,35,93
Lars and the Real Girl,2007,PG-13,"['Comedy', ' Drama', ' Romance']",7.3,70,136688,5972884.0,73,106
About Schmidt,2002,R,"['Comedy', ' Drama']",7.1,85,121329,65016287.0,71,125
"Mujeres al borde de un ataque de ""nervios""",1988,,"['Comedy', ' Drama']",7.6,85,34940,7179298.0,76,88
Our Idiot Brother,2011,R,"['Comedy', ' Drama']",6.4,60,83044,24814830.0,64,90
The Hundred-Foot Journey,2014,PG,"['Comedy', ' Drama']",7.3,55,75199,54240821.0,73,122
The Nutty Professor,1996,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",5.6,62,108114,128814019.0,56,95
All Dogs Go to Heaven,1989,,"['Animation', ' Comedy', ' Drama']",6.8,50,35541,27100027.0,68,84
Being There,1979,,"['Comedy', ' Drama']",8.0,83,64411,30177511.0,80,130
Ghosts of Girlfriends Past,2009,PG-13,"['Comedy', ' Fantasy', ' Romance']",5.8,34,82672,55250026.0,58,115
Blast from the Past,1999,PG-13,"['Comedy', ' Drama', ' Romance']",6.6,48,58659,26494611.0,66,112
Mom and Dad,2017,R,"['Comedy', ' Horror', ' Thriller']",5.5,59,19787,,55,86
People Like Us,2012,PG-13,"['Comedy', ' Drama']",7.1,49,41100,12412386.0,71,114
Second Act,2018,PG-13,"['Comedy', ' Drama', ' Romance']",5.8,46,21195,39282227.0,58,103
"Hello, Dolly!",1969,,"['Adventure', ' Comedy', ' Musical']",7.1,51,13246,7239608.0,71,146
Peter Rabbit,2018,PG,"['Adventure', ' Comedy', ' Family']",6.6,51,34078,115253424.0,66,95
Dumb and Dumberer: When Harry Met Lloyd,2003,PG-13,['Comedy'],3.4,19,36929,26276465.0,34,85
The Week Of,2018,,['Comedy'],5.1,41,17826,,51,116
Black Dynamite,2009,R,"['Action', ' Comedy']",7.4,65,45154,228477.0,74,84
Suburbicon,2017,R,"['Comedy', ' Crime', ' Thriller']",5.7,42,39217,5775178.0,57,105
How to Talk to Girls at Parties,2017,R,"['Comedy', ' Music', ' Romance']",5.7,50,9358,84809.0,57,102
Eddie the Eagle,2015,PG-13,"['Biography', ' Comedy', ' Drama']",7.4,54,83087,15785632.0,74,106
Three Kings,1999,R,"['Action', ' Adventure', ' Comedy']",7.1,82,158536,60652036.0,71,114
Necessary Roughness,1991,,"['Comedy', ' Sport']",6.2,45,10134,26255594.0,62,108
Bean,1997,PG-13,"['Adventure', ' Comedy', ' Family']",6.5,52,95954,45319423.0,65,89
Beerfest,2006,R,['Comedy'],6.3,46,63378,19185184.0,63,110
The Boss,2016,R,['Comedy'],5.4,40,42162,63034755.0,54,99
The Italian Job,1969,,"['Action', ' Comedy', ' Crime']",7.3,70,40866,,73,99
The Bounty Hunter,2010,PG-13,"['Action', ' Comedy', ' Romance']",5.6,22,119716,67061228.0,56,110
Penelope,2006,PG,"['Comedy', ' Fantasy', ' Romance']",6.7,48,59480,10011274.0,67,104
My Dinner with Andre,1981,,"['Biography', ' Comedy', ' Drama']",7.8,83,17807,5250000.0,78,110
Blue Juice,1995,R,"['Comedy', ' Drama', ' Romance']",5.3,64,2513,,53,90
Keanu,2016,R,"['Action', ' Comedy', ' Crime']",6.2,63,44943,20566327.0,62,100
Office Christmas Party,2016,R,['Comedy'],5.8,42,66450,54767494.0,58,105
Penguins of Madagascar,2014,PG,"['Animation', ' Adventure', ' Comedy']",6.7,53,77562,83348920.0,67,92
Human Nature,2001,R,"['Comedy', ' Drama']",6.4,56,17299,695876.0,64,96
Bedtime Stories,2008,PG,"['Comedy', ' Family', ' Fantasy']",6.0,33,86962,110101975.0,60,99
Maximum Overdrive,1986,,"['Action', ' Comedy', ' Horror']",5.5,24,29376,7433663.0,55,98
Identity Thief,2013,R,"['Comedy', ' Crime', ' Drama']",5.7,35,122693,134506920.0,57,111
Get Shorty,1995,R,"['Comedy', ' Crime', ' Thriller']",6.9,82,74701,72077000.0,69,105
Irrational Man,2015,R,"['Comedy', ' Drama', ' Romance']",6.6,53,57286,4027764.0,66,95
Funny People,2009,R,"['Comedy', ' Drama']",6.3,60,113191,51855045.0,63,146
Wild Hogs,2007,PG-13,"['Action', ' Adventure', ' Comedy']",5.8,27,113044,168273550.0,58,100
Their Finest,2016,R,"['Comedy', ' Drama', ' Romance']",6.8,76,17344,3595841.0,68,117
Osmosis Jones,2001,PG,"['Animation', ' Action', ' Adventure']",6.3,57,31890,13596911.0,63,95
Cutthroat Island,1995,PG-13,"['Action', ' Adventure', ' Comedy']",5.7,37,25617,10017322.0,57,124
Scary Movie 4,2006,PG-13,"['Comedy', ' Horror']",5.1,40,112273,90710620.0,51,83
Enough Said,2013,PG-13,"['Comedy', ' Drama', ' Romance']",7.0,78,58091,17536788.0,70,93
The Adventures of Baron Munchausen,1988,,"['Adventure', ' Comedy', ' Fantasy']",7.2,69,49998,8083123.0,72,126
Mortdecai,2015,R,"['Action', ' Adventure', ' Comedy']",5.5,27,65910,7605668.0,55,107
Military Wives,2019,PG-13,"['Comedy', ' Drama', ' Musical']",6.4,55,2228,,64,112
MacGruber,2010,R,"['Action', ' Comedy']",5.5,43,41965,8460995.0,55,90
The SpongeBob Movie: Sponge Out of Water,2015,PG,"['Animation', ' Action', ' Adventure']",6.0,62,47700,162994032.0,60,92
First Kid,1996,PG,"['Family', ' Comedy']",5.3,48,10050,26459681.0,53,101
Tooth Fairy,2010,PG,"['Comedy', ' Family', ' Fantasy']",5.0,36,41415,60022256.0,50,101
The SpongeBob SquarePants Movie,2004,PG,"['Animation', ' Action', ' Adventure']",7.1,66,77065,85417988.0,71,87
The Secret of My Success,1987,,"['Comedy', ' Romance']",6.5,36,29034,66995879.0,65,111
Jack and Jill,2011,PG,['Comedy'],3.3,23,76781,74158157.0,33,91
Summer School,1987,,"['Comedy', ' Romance']",6.6,27,17083,35658098.0,66,97
Daddy Day Care,2003,PG,"['Comedy', ' Family']",5.6,39,62714,104297061.0,56,92
Duck Butter,2018,,"['Comedy', ' Drama', ' Romance']",5.3,58,2906,6877.0,53,93
1941,1979,,"['Action', ' Comedy', ' War']",5.8,34,30884,31755742.0,58,118
Reality Bites,1994,PG-13,"['Comedy', ' Drama', ' Romance']",6.6,67,45237,20982557.0,66,99
30 Minutes or Less,2011,R,"['Action', ' Comedy', ' Crime']",6.1,49,92520,37053924.0,61,83
An American Werewolf in Paris,1997,R,"['Comedy', ' Fantasy', ' Horror']",5.1,31,22888,26570463.0,51,105
Airheads,1994,PG-13,"['Comedy', ' Crime', ' Music']",6.1,46,45509,5370000.0,61,92
Hannah Montana: The Movie,2009,,"['Comedy', ' Drama', ' Family']",4.5,47,39093,79566871.0,45,102
Do lok tin si,1995,,"['Comedy', ' Crime', ' Drama']",7.7,71,24885,,77,99
Inspector Gadget,1999,PG,"['Action', ' Adventure', ' Comedy']",4.1,36,44745,97403112.0,41,78
The Return of the Texas Chainsaw Massacre,1995,R,"['Comedy', ' Horror', ' Thriller']",3.3,50,19602,186712.0,33,87
Jackass 3D,2010,R,"['Documentary', ' Action', ' Comedy']",7.0,56,56074,117224271.0,70,95
History of the World: Part I,1981,,"['Comedy', ' History', ' Musical']",6.9,47,45169,31672907.0,69,92
Adventureland,2009,R,"['Comedy', ' Drama', ' Romance']",6.8,76,151002,16025394.0,68,107
Southland Tales,2006,R,"['Comedy', ' Drama', ' Mystery']",5.4,44,36817,275380.0,54,145
The House,2017,R,"['Comedy', ' Crime']",5.6,30,39777,25481529.0,56,88
The Flintstones in Viva Rock Vegas,2000,PG,"['Comedy', ' Family', ' Romance']",3.6,27,21290,35268275.0,36,90
The Sword in the Stone,1963,,"['Animation', ' Adventure', ' Comedy']",7.2,61,87577,22182353.0,72,79
Fritz the Cat,1972,,"['Animation', ' Comedy', ' Drama']",6.3,54,11136,25000000.0,63,78
Sandy Wexler,2017,,['Comedy'],5.2,40,14070,,52,130
City Lights,1931,G,"['Comedy', ' Drama', ' Romance']",8.5,99,163411,19181.0,85,87
Chopping Mall,1986,,"['Comedy', ' Horror', ' Sci-Fi']",5.6,22,11575,,56,77
Dream a Little Dream,1989,,"['Comedy', ' Drama', ' Romance']",5.9,32,6245,5552441.0,59,114
Cannonball Run II,1984,,"['Action', ' Comedy']",5.1,13,14726,28078073.0,51,108
The Full Monty,1997,R,"['Comedy', ' Drama']",7.2,75,97468,45950122.0,72,91
Fun with Dick and Jane,2005,PG-13,"['Comedy', ' Crime']",6.2,47,132845,110332737.0,62,90
The Way,2010,,"['Comedy', ' Drama']",7.4,64,29962,4430650.0,74,123
The Gods Must Be Crazy,1980,,"['Adventure', ' Comedy']",7.3,73,51641,30031783.0,73,109
Year One,2009,PG-13,['Comedy'],4.9,34,90806,43337279.0,49,97
Boy,2010,,"['Comedy', ' Drama']",7.5,70,21167,255179.0,75,87
Slap Shot,1977,,"['Comedy', ' Drama', ' Sport']",7.3,61,33765,28000000.0,73,123
Killing Gunther,2017,R,"['Action', ' Comedy', ' Thriller']",4.8,53,11388,,48,92
Turbo,2013,PG,"['Animation', ' Adventure', ' Comedy']",6.4,58,81947,83028128.0,64,96
Pete's Dragon,1977,,"['Animation', ' Adventure', ' Comedy']",6.4,46,22001,40100000.0,64,128
Hudson Hawk,1991,R,"['Action', ' Adventure', ' Comedy']",5.8,17,51471,17218080.0,58,100
The Fundamentals of Caring,2016,,"['Comedy', ' Drama']",7.3,55,56053,,73,97
My Big Fat Greek Wedding 2,2016,PG-13,"['Comedy', ' Romance']",6.0,37,27815,59689605.0,60,94
Benny & Joon,1993,PG,"['Comedy', ' Drama', ' Romance']",7.2,57,53930,23202734.0,72,98
Krampus,2015,PG-13,"['Comedy', ' Drama', ' Fantasy']",6.1,49,60389,42592530.0,61,98
Imagine Me & You,2005,R,"['Comedy', ' Drama', ' Romance']",6.8,49,29338,671240.0,68,90
Nanny McPhee and the Big Bang,2010,PG,"['Comedy', ' Family', ' Fantasy']",6.1,52,27525,29197642.0,61,109
How to Lose Friends & Alienate People,2008,R,"['Biography', ' Comedy', ' Drama']",6.4,35,67369,2778752.0,64,110
Going the Distance,2010,R,"['Comedy', ' Romance']",6.3,51,56229,17804299.0,63,103
The Perfect Match,2016,R,"['Comedy', ' Romance']",4.9,41,3499,9658370.0,49,96
The Jerk,1979,,['Comedy'],7.2,61,52218,73691419.0,72,94
Brassed Off,1996,R,"['Comedy', ' Drama', ' Romance']",7.1,60,18374,2560471.0,71,108
Funny Girl,1968,,"['Biography', ' Comedy', ' Drama']",7.4,89,19102,58500000.0,74,151
Sunshine Cleaning,2008,R,"['Comedy', ' Drama']",6.8,61,69000,12062558.0,68,91
Deuce Bigalow: Male Gigolo,1999,R,"['Comedy', ' Romance']",5.7,30,69792,65538755.0,57,88
Sisters,2015,R,['Comedy'],6.0,58,62147,87044645.0,60,118
Edtv,1999,PG-13,"['Comedy', ' Drama']",6.1,48,41112,22362500.0,61,122
Bull Durham,1988,,"['Comedy', ' Romance', ' Sport']",7.1,73,46937,50888729.0,71,108
Old Dogs,2009,PG,"['Comedy', ' Family']",5.4,19,35973,49492060.0,54,88
Kurenai no buta,1992,PG,"['Animation', ' Adventure', ' Comedy']",7.7,83,74611,,77,94
The Long Goodbye,1973,,"['Comedy', ' Crime', ' Drama']",7.6,87,25390,959000.0,76,112
Breaking Away,1979,,"['Comedy', ' Drama', ' Romance']",7.7,91,21358,16424918.0,77,101
Stick It,2006,PG-13,"['Comedy', ' Drama', ' Sport']",6.4,53,26223,26870825.0,64,103
Nebraska,2013,R,"['Adventure', ' Comedy', ' Drama']",7.7,87,110865,17654912.0,77,115
The People Under the Stairs,1991,R,"['Comedy', ' Horror', ' Mystery']",6.4,57,30597,24204154.0,64,102
Hot Pursuit,2015,PG-13,"['Action', ' Comedy', ' Crime']",5.1,31,47726,34507079.0,51,87
Shithouse,2020,R,"['Comedy', ' Drama', ' Romance']",8.3,80,23,,83,100
Bad Santa,2003,R,"['Comedy', ' Crime', ' Drama']",7.0,70,131921,60060328.0,70,92
Miss Congeniality 2: Armed & Fabulous,2005,PG-13,"['Action', ' Comedy', ' Crime']",5.1,34,68466,48478006.0,51,115
Kamera wo tomeruna!,2017,,"['Comedy', ' Horror']",7.7,86,15733,,77,96
This Beautiful Fantastic,2016,PG,"['Comedy', ' Drama', ' Romance']",6.9,51,9171,36877.0,69,100
Hatchet,2006,R,"['Comedy', ' Horror', ' Thriller']",5.7,57,28419,155873.0,57,93
RV,2006,PG,"['Adventure', ' Comedy', ' Family']",5.5,33,55677,71726025.0,55,99
The Pink Panther,1963,,"['Comedy', ' Crime', ' Romance']",7.1,55,47590,10878107.0,71,115
Coffee & Kareem,2020,,"['Action', ' Comedy']",5.1,35,10768,,51,88
BASEketball,1998,R,"['Comedy', ' Sport']",6.5,38,56190,6940185.0,65,103
Diary of a Mad Black Woman,2005,PG-13,"['Comedy', ' Drama', ' Romance']",5.8,36,13441,50633099.0,58,116
Summer '03,2018,,"['Comedy', ' Drama', ' Romance']",5.4,45,2446,17521754.0,54,95
Into the Night,1985,,"['Action', ' Comedy', ' Crime']",6.5,41,10843,7562164.0,65,115
Half Baked,1998,R,"['Comedy', ' Crime']",6.7,16,57188,17278980.0,67,82
Uptown Girls,2003,PG-13,"['Comedy', ' Drama', ' Romance']",6.2,33,34709,36922190.0,62,92
Little Fockers,2010,PG-13,"['Comedy', ' Romance']",5.5,27,105073,148383780.0,55,98
Jersey Girl,2004,PG-13,"['Comedy', ' Drama', ' Romance']",6.2,43,62742,25266129.0,62,102
Shampoo,1975,,"['Comedy', ' Drama']",6.3,65,10822,49407734.0,63,110
Private Parts,1997,R,"['Biography', ' Comedy', ' Drama']",6.9,67,33498,41198146.0,69,109
Beaches,1988,,"['Comedy', ' Drama', ' Music']",7.0,46,22899,57041866.0,70,123
Doctor Dolittle,1998,PG-13,"['Comedy', ' Family', ' Fantasy']",5.4,46,90335,144156605.0,54,85
Phantom of the Paradise,1974,,"['Comedy', ' Drama', ' Fantasy']",7.4,67,16383,,74,91
Thank You for Smoking,2005,R,"['Comedy', ' Drama']",7.6,71,211327,24792061.0,76,92
The Zero Theorem,2013,R,"['Comedy', ' Drama', ' Fantasy']",6.1,50,44778,219438.0,61,107
Love the Coopers,2015,PG-13,"['Comedy', ' Fantasy', ' Romance']",5.8,31,19808,26284475.0,58,107
Mousehunt,1997,PG,['Comedy'],6.5,54,50636,61917389.0,65,98
Up in Smoke,1978,,"['Comedy', ' Music']",7.0,57,35612,44364244.0,70,86
In Good Company,2004,PG-13,"['Comedy', ' Drama', ' Romance']",6.4,66,53209,45806659.0,64,109
Ice Age: Dawn of the Dinosaurs,2009,PG,"['Animation', ' Adventure', ' Comedy']",6.9,50,219253,196573705.0,69,94
Look Who's Talking,1989,,['Comedy'],5.9,51,76147,140088813.0,59,93
Nobody's Fool,2018,R,"['Comedy', ' Drama', ' Romance']",4.8,39,6105,31713110.0,48,110
En man som heter Ove,2015,PG-13,"['Comedy', ' Drama', ' Romance']",7.7,70,45285,3358518.0,77,116
I Love You Phillip Morris,2009,R,"['Biography', ' Comedy', ' Crime']",6.6,65,90672,2035566.0,66,102
Wimbledon,2004,PG-13,"['Comedy', ' Romance', ' Sport']",6.3,59,59120,17001133.0,63,98
Clerks II,2006,R,['Comedy'],7.3,65,129003,24138847.0,73,97
Hairspray,1988,,"['Comedy', ' Drama', ' Family']",6.9,77,19481,6671108.0,69,92
Smiley Face,2007,R,['Comedy'],5.8,71,16246,9397.0,58,85
Grumpier Old Men,1995,PG-13,"['Comedy', ' Romance']",6.7,46,23792,69870000.0,67,101
Delicatessen,1991,R,"['Comedy', ' Crime']",7.6,66,79308,1794187.0,76,99
Fletch,1985,,"['Comedy', ' Crime', ' Mystery']",6.9,68,46782,50612888.0,69,98
"Men, Women & Children",2014,R,"['Comedy', ' Drama']",6.7,38,30017,461162.0,67,119
Bratz,2007,PG,"['Comedy', ' Family', ' Music']",3.1,21,17602,10005534.0,31,110
Beyond the Valley of the Dolls,1970,,"['Comedy', ' Drama', ' Music']",6.2,60,9854,2656965.0,62,109
Freddy Got Fingered,2001,R,['Comedy'],4.6,13,45557,14249005.0,46,87
Along Came Polly,2004,PG-13,"['Comedy', ' Romance']",6.0,44,124684,88097164.0,60,90
The Green Hornet,2011,PG-13,"['Action', ' Comedy', ' Crime']",5.8,39,153940,98780042.0,58,119
Behaving Badly,2014,R,"['Comedy', ' Romance']",4.4,18,9857,,44,97
Freeway,1996,R,"['Comedy', ' Crime', ' Drama']",6.8,61,25970,295493.0,68,102
Monster Party,2018,,"['Comedy', ' Horror', ' Thriller']",5.5,58,3094,,55,89
Spun,2002,R,"['Comedy', ' Crime', ' Drama']",6.8,41,36521,410241.0,68,101
The Benchwarmers,2006,PG-13,"['Comedy', ' Sport']",5.5,25,47738,59843754.0,55,85
Last Holiday,2006,PG-13,"['Comedy', ' Romance']",6.5,52,28027,38360195.0,65,112
The Wedding Ringer,2015,R,['Comedy'],6.6,35,70033,64460211.0,66,101
Superhero Movie,2008,PG-13,"['Action', ' Comedy', ' Sci-Fi']",4.5,33,62846,26638520.0,45,75
Death Race 2000,1975,,"['Action', ' Comedy', ' Sci-Fi']",6.2,59,24181,8000000.0,62,80
Bottle Rocket,1996,R,"['Comedy', ' Crime', ' Drama']",7.0,66,68652,560069.0,70,91
SLC Punk!,1998,R,"['Comedy', ' Drama', ' Music']",7.5,50,25516,299200.0,75,97
Sirens,1994,R,"['Comedy', ' Drama', ' Romance']",5.8,64,9951,7770731.0,58,98
Intolerable Cruelty,2003,PG-13,"['Comedy', ' Crime', ' Romance']",6.2,71,90139,35327628.0,62,100
The Jewel of the Nile,1985,,"['Action', ' Adventure', ' Comedy']",6.2,53,49873,75973200.0,62,106
Taxi,2004,PG-13,"['Action', ' Comedy', ' Crime']",4.5,27,39639,36611066.0,45,97
Eight Legged Freaks,2002,PG-13,"['Action', ' Adventure', ' Comedy']",5.4,53,52064,17322606.0,54,99
The Hottie & the Nottie,2008,PG-13,"['Comedy', ' Romance']",1.9,7,35981,27696.0,19,91
Meng long guo jiang,1972,,"['Action', ' Adventure', ' Comedy']",7.3,58,31373,,73,99
The Santa Clause,1994,PG,"['Comedy', ' Drama', ' Family']",6.5,57,92456,144833357.0,65,97
The Last American Virgin,1982,,"['Comedy', ' Drama', ' Romance']",6.3,43,7714,5829781.0,63,92
The Muppets Take Manhattan,1984,,"['Adventure', ' Comedy', ' Drama']",6.9,64,19128,25534703.0,69,94
Yoga Hosers,2016,PG-13,"['Action', ' Comedy', ' Fantasy']",4.3,23,11943,,43,88
I'm Still Here,2010,R,"['Comedy', ' Drama', ' Music']",6.2,48,20593,408719.0,62,108
Storks,2016,PG,"['Animation', ' Adventure', ' Comedy']",6.8,56,54959,72679278.0,68,87
Hair,1979,,"['Comedy', ' Drama', ' Musical']",7.6,68,34425,15284463.0,76,121
Submarine,2010,R,"['Comedy', ' Drama', ' Romance']",7.3,76,84292,466702.0,73,97
Harry and the Hendersons,1987,,"['Comedy', ' Family', ' Fantasy']",6.0,42,30739,29760613.0,60,110
Neko no ongaeshi,2002,G,"['Animation', ' Adventure', ' Comedy']",7.2,70,47216,,72,75
Flubber,1997,PG,"['Comedy', ' Family', ' Sci-Fi']",5.3,37,83234,92977226.0,53,93
Spies Like Us,1985,,"['Adventure', ' Comedy']",6.5,22,43416,60088980.0,65,102
Romance & Cigarettes,2005,R,"['Comedy', ' Musical', ' Romance']",6.3,55,11360,540085.0,63,105
Rubber,2010,R,"['Comedy', ' Fantasy', ' Horror']",5.8,59,33608,98017.0,58,82
Vampires Suck,2010,PG-13,"['Comedy', ' Horror']",3.4,18,46091,36661504.0,34,82
Ruby Sparks,2012,R,"['Comedy', ' Drama', ' Fantasy']",7.2,67,94570,2540106.0,72,104
Monte Carlo,2011,PG,"['Adventure', ' Comedy', ' Family']",5.8,43,40629,23186769.0,58,109
My Blue Heaven,1990,,"['Comedy', ' Crime']",6.3,35,18411,23591472.0,63,97
Be Cool,2005,PG-13,"['Comedy', ' Crime', ' Music']",5.6,37,66677,56046979.0,56,118
The Golden Child,1986,,"['Action', ' Adventure', ' Comedy']",6.0,37,50315,79817937.0,60,94
Bugsy Malone,1976,,"['Comedy', ' Crime', ' Family']",6.9,71,15873,2783840.0,69,93
The Baytown Outlaws,2012,R,"['Action', ' Comedy', ' Crime']",6.4,33,13643,,64,98
Home Sweet Hell,2015,R,"['Comedy', ' Crime', ' Thriller']",5.4,22,14064,,54,98
The Big Year,2011,PG,['Comedy'],6.2,53,41516,7204138.0,62,102
Away We Go,2009,R,"['Comedy', ' Drama', ' Romance']",7.0,58,51348,9451946.0,70,98
Kangaroo Jack,2003,,"['Action', ' Adventure', ' Comedy']",4.4,16,29178,66934963.0,44,89
Freaky Friday,1976,,"['Comedy', ' Family', ' Fantasy']",6.3,51,11479,25942000.0,63,95
A Haunted House,2013,R,"['Comedy', ' Fantasy', ' Horror']",5.0,20,43059,40041683.0,50,86
Broadcast News,1987,,"['Comedy', ' Drama', ' Romance']",7.2,84,26326,51249404.0,72,133
Sgt. Pepper's Lonely Hearts Club Band,1978,,"['Adventure', ' Comedy', ' Fantasy']",4.2,27,5891,20378470.0,42,113
Tales of Halloween,2015,R,"['Comedy', ' Horror']",5.5,64,11327,,55,97
Duplicity,2009,PG-13,"['Comedy', ' Crime', ' Romance']",6.1,69,47075,40572825.0,61,125
In & Out,1997,PG-13,"['Comedy', ' Romance']",6.4,70,38054,63856929.0,64,90
Hot Tub Time Machine 2,2015,R,"['Comedy', ' Mystery', ' Sci-Fi']",5.1,29,36415,12282677.0,51,93
The Woman in Red,1984,,"['Comedy', ' Romance']",6.0,55,13730,25308147.0,60,87
Garfield,2004,PG,"['Animation', ' Comedy', ' Family']",5.0,27,77889,75369589.0,50,80
Miss Stevens,2016,,"['Comedy', ' Drama']",6.6,65,5117,3858.0,66,86
The Lizzie McGuire Movie,2003,PG,"['Adventure', ' Comedy', ' Family']",5.5,56,35229,42672630.0,55,94
Elizabethtown,2005,PG-13,"['Comedy', ' Drama', ' Romance']",6.4,45,66732,26838389.0,64,123
The Philadelphia Story,1940,,"['Comedy', ' Romance']",7.9,96,62283,,79,112
The Ladykillers,2004,R,"['Comedy', ' Crime', ' Thriller']",6.2,56,98063,39799191.0,62,104
Volver,2006,R,"['Comedy', ' Drama']",7.6,84,93329,12899867.0,76,121
Whatever Works,2009,PG-13,"['Comedy', ' Romance']",7.1,45,70157,5306447.0,71,93
Madea's Family Reunion,2006,PG-13,"['Comedy', ' Drama', ' Romance']",5.2,45,10475,63318000.0,52,107
Diary of a Wimpy Kid: Dog Days,2012,PG,"['Comedy', ' Family']",6.3,54,21544,49008662.0,63,94
Confessions of a Teenage Drama Queen,2004,PG,"['Comedy', ' Family', ' Music']",4.7,33,27148,29331068.0,47,89
Gigli,2003,R,"['Comedy', ' Crime', ' Romance']",2.5,18,45733,6068735.0,25,121
Wag the Dog,1997,R,"['Comedy', ' Drama']",7.2,73,77846,43022524.0,72,97
The Best Little Whorehouse in Texas,1982,,"['Comedy', ' Musical']",6.0,40,9651,69701637.0,60,114
Chroniques sexuelles d'une famille d'aujourd'hui,2012,,"['Comedy', ' Drama', ' Romance']",5.3,34,3843,,53,85
Tuff Turf,1985,,"['Action', ' Comedy', ' Drama']",6.2,37,4060,9400000.0,62,112
Naked Gun 33 1/3: The Final Insult,1994,PG-13,"['Comedy', ' Crime']",6.5,63,95555,51132598.0,65,83
Cloudy with a Chance of Meatballs 2,2013,PG,"['Animation', ' Adventure', ' Comedy']",6.4,59,88398,119793567.0,64,95
For Your Consideration,2006,PG-13,['Comedy'],6.3,68,13797,5542025.0,63,86
Nashville,1975,,"['Comedy', ' Drama', ' Music']",7.7,96,23234,14824000.0,77,160
The Curse of the Were-Rabbit,2005,,"['Animation', ' Adventure', ' Comedy']",7.4,87,123404,56110897.0,74,85
While We're Young,2014,R,"['Comedy', ' Drama', ' Mystery']",6.3,77,46066,7574066.0,63,97
Little Man,2006,PG-13,"['Comedy', ' Crime']",4.4,26,49651,58645052.0,44,98
The Incredible Burt Wonderstone,2013,PG-13,['Comedy'],5.9,44,70156,22525921.0,59,100
The Lair of the White Worm,1988,,"['Comedy', ' Horror']",5.9,61,9843,1189315.0,59,93
Ice Age: The Meltdown,2006,PG,"['Animation', ' Adventure', ' Comedy']",6.8,58,251589,195330621.0,68,91
Stockholm,2018,R,"['Biography', ' Comedy', ' Crime']",6.1,54,9898,300000.0,61,92
Seeking a Friend for the End of the World,2012,R,"['Adventure', ' Comedy', ' Drama']",6.7,59,106428,6619173.0,67,101
Just Getting Started,2017,PG-13,"['Comedy', ' Crime']",4.5,21,6063,6069605.0,45,91
Diary of a Wimpy Kid: Rodrick Rules,2011,PG,"['Comedy', ' Family']",6.5,51,25549,52698535.0,65,100
Welcome to the Dollhouse,1995,R,"['Comedy', ' Drama']",7.4,83,31389,4771000.0,74,88
A Madea Family Funeral,2019,PG-13,['Comedy'],4.4,39,3618,73257045.0,44,109
The Trip to Greece,2020,,"['Comedy', ' Drama']",6.6,69,2091,,66,103
Fanboys,2009,PG-13,"['Adventure', ' Comedy', ' Crime']",6.6,45,55704,688529.0,66,90
Just My Luck,2006,PG-13,"['Comedy', ' Fantasy', ' Romance']",5.4,29,53063,17324744.0,54,108
Little Big Man,1970,PG-13,"['Adventure', ' Comedy', ' Drama']",7.6,63,32294,31559552.0,76,139
Teenage Mutant Ninja Turtles III,1993,PG,"['Action', ' Adventure', ' Comedy']",4.8,40,30523,42660000.0,48,96
The Young and Prodigious T.S. Spivet,2013,PG,"['Action', ' Adventure', ' Comedy']",7.1,53,16655,99462.0,71,105
La Gomera,2019,,"['Comedy', ' Crime']",6.3,76,3402,,63,97
Naked,2017,,"['Comedy', ' Fantasy', ' Romance']",5.4,36,16747,,54,96
The Great Muppet Caper,1981,,"['Adventure', ' Comedy', ' Crime']",7.2,70,13452,31206251.0,72,97
An American Tail,1986,,"['Animation', ' Adventure', ' Comedy']",6.9,38,48038,47483002.0,69,80
Like Mike,2002,PG,"['Comedy', ' Family', ' Fantasy']",5.3,47,18703,51432423.0,53,99
Night Shift,1982,,['Comedy'],6.6,62,13756,23600000.0,66,106
Barefoot in the Park,1967,,"['Comedy', ' Romance']",7.0,55,16463,19994515.0,70,106
"I Love You, Beth Cooper",2009,PG-13,"['Comedy', ' Romance']",5.3,32,33090,14793904.0,53,102
