movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
Charlie's Angels,2000,PG-13,"['Action', ' Adventure', ' Comedy']",5.5,52,174068,125305545.0,55,98
Green Book,2018,PG-13,"['Biography', ' Comedy', ' Drama']",8.2,69,345435,85080171.0,82,130
American Pie,1999,R,['Comedy'],7.0,58,370800,102561004.0,70,95
Sex Drive,2008,R,"['Comedy', ' Romance']",6.5,49,82957,8402485.0,65,109
Onward,2020,PG,"['Animation', ' Adventure', ' Comedy']",7.4,61,79283,61555145.0,74,102
Emma.,2020,PG,"['Comedy', ' Drama', ' Romance']",6.7,71,20490,,67,124
Captain Fantastic,2016,R,"['Comedy', ' Drama']",7.9,72,182978,5875006.0,79,118
Lady Bird,2017,R,"['Comedy', ' Drama']",7.4,94,230554,48958273.0,74,94
The Mighty Ducks,1992,PG,"['Comedy', ' Drama', ' Family']",6.5,46,57458,50752337.0,65,104
Scoob!,2020,PG,"['Animation', ' Adventure', ' Comedy']",5.7,43,15349,,57,93
Dazed and Confused,1993,R,['Comedy'],7.6,78,161992,7993039.0,76,102
Zombieland: Double Tap,2019,R,"['Action', ' Adventure', ' Comedy']",6.7,55,127846,26803104.0,67,99
Yesterday,2019,PG-13,"['Comedy', ' Fantasy', ' Music']",6.8,55,106440,73286650.0,68,116
Logan Lucky,2017,PG-13,"['Comedy', ' Crime', ' Drama']",7.0,78,125518,27780977.0,70,118
Sonic the Hedgehog,2020,PG,"['Action', ' Adventure', ' Comedy']",6.5,47,76240,146066470.0,65,99
Clueless,1995,PG-13,"['Comedy', ' Romance']",6.8,68,179048,56631572.0,68,97
Parenthood,1989,,"['Comedy', ' Drama']",7.0,82,44157,100047830.0,70,124
Toy Story 4,2019,G,"['Animation', ' Adventure', ' Comedy']",7.8,84,190853,434038008.0,78,100
Night School,2018,PG-13,['Comedy'],5.6,43,33402,77339130.0,56,111
Coneheads,1993,PG,"['Comedy', ' Sci-Fi']",5.3,49,50090,21274717.0,53,88
Shazam!,2019,PG-13,"['Action', ' Adventure', ' Comedy']",7.1,71,242553,140371656.0,71,132
Sing,2016,PG,"['Animation', ' Comedy', ' Family']",7.1,59,130226,270395425.0,71,108
Dead Poets Society,1989,,"['Comedy', ' Drama']",8.1,79,412754,95860116.0,81,128
Mamma Mia! Here We Go Again,2018,PG-13,"['Comedy', ' Musical', ' Romance']",6.6,60,76377,120634935.0,66,114
Dolittle,2020,PG,"['Adventure', ' Comedy', ' Family']",5.6,26,40203,77047065.0,56,101
Coming to America,1988,,"['Comedy', ' Romance']",7.0,47,160903,128152300.0,70,116
The Grand Budapest Hotel,2014,R,"['Adventure', ' Comedy', ' Crime']",8.1,88,689831,59100318.0,81,99
Being John Malkovich,1999,R,"['Comedy', ' Drama', ' Fantasy']",7.7,90,306436,22858926.0,77,113
The Ballad of Buster Scruggs,2018,R,"['Comedy', ' Drama', ' Musical']",7.3,79,115988,,73,133
Ratatouille,2007,G,"['Animation', ' Adventure', ' Comedy']",8.0,96,626473,206445654.0,80,111
My Best Friend's Wedding,1997,PG-13,"['Comedy', ' Drama', ' Romance']",6.3,50,126436,127120029.0,63,105
The Truman Show,1998,PG,"['Comedy', ' Drama', ' Sci-Fi']",8.1,90,914104,125618201.0,81,103
The School of Rock,2003,PG-13,"['Comedy', ' Music']",7.1,82,263323,81261177.0,71,109
The Man from U.N.C.L.E.,2015,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,56,263699,45445109.0,73,116
La La Land,2016,PG-13,"['Comedy', ' Drama', ' Music']",8.0,94,490093,151101803.0,80,128
Weird Science,1985,,"['Comedy', ' Romance', ' Sci-Fi']",6.6,46,78592,23834048.0,66,94
10 Things I Hate About You,1999,PG-13,"['Comedy', ' Drama', ' Romance']",7.3,70,290887,38176108.0,73,97
The Addams Family,1991,,"['Comedy', ' Fantasy']",6.9,57,127938,113502000.0,69,99
Marriage Story,2019,R,"['Comedy', ' Drama', ' Romance']",8.0,94,229689,2000000.0,80,137
Boyz in the Wood,2019,R,"['Action', ' Comedy', ' Horror']",6.2,69,3083,,62,87
Hercules,1997,,"['Animation', ' Adventure', ' Comedy']",7.3,74,201110,99046791.0,73,93
Home Alone,1990,,"['Comedy', ' Family']",7.6,63,452795,285761243.0,76,103
My Spy,2020,PG-13,"['Action', ' Comedy', ' Family']",6.3,46,17739,,63,99
Bridesmaids,2011,R,"['Comedy', ' Romance']",6.8,75,263581,169106725.0,68,125
The Binge,2020,,['Comedy'],4.9,35,1810,,49,98
Crazy Rich Asians,2018,PG-13,"['Comedy', ' Drama', ' Romance']",6.9,74,133928,174532921.0,69,120
An American Pickle,2020,PG-13,['Comedy'],5.7,58,11385,,57,88
Ocean's Eight,2018,PG-13,"['Action', ' Comedy', ' Crime']",6.9,61,178270,140218711.0,69,110
The Big Short,2015,R,"['Biography', ' Comedy', ' Drama']",7.8,81,350441,70259870.0,78,130
The Lost Boys,1987,,"['Comedy', ' Horror']",7.3,63,121191,32222567.0,73,97
Love Actually,2003,R,"['Comedy', ' Drama', ' Romance']",7.6,55,416428,59696144.0,76,135
Easy A,2010,PG-13,"['Comedy', ' Drama', ' Romance']",7.0,72,351245,58401464.0,70,92
Hook,1991,,"['Adventure', ' Comedy', ' Family']",6.8,52,230044,119654823.0,68,142
Frozen,2013,PG,"['Animation', ' Adventure', ' Comedy']",7.4,75,561888,400738009.0,74,102
RED,2010,PG-13,"['Action', ' Comedy', ' Crime']",7.0,60,284963,90380162.0,70,111
Jumanji,1995,PG,"['Adventure', ' Comedy', ' Family']",7.0,39,300106,100475249.0,70,104
Snatch,2000,R,"['Comedy', ' Crime']",8.3,55,768400,30328156.0,83,104
Due Date,2010,R,"['Comedy', ' Drama']",6.5,51,319906,100539043.0,65,95
Morning Glory,2010,PG-13,"['Comedy', ' Drama', ' Romance']",6.5,57,72545,31011732.0,65,107
Cats,2019,PG,"['Comedy', ' Drama', ' Family']",2.8,32,36386,,28,110
Dora and the Lost City of Gold,2019,PG,"['Adventure', ' Comedy', ' Family']",6.1,63,21886,54893567.0,61,102
Airplane!,1980,,['Comedy'],7.7,78,209441,83400000.0,77,88
A Rainy Day in New York,2019,PG-13,"['Comedy', ' Romance']",6.6,44,25768,,66,92
Grown Ups,2010,PG-13,['Comedy'],5.9,30,224727,162001186.0,59,102
Inside Out,2015,PG,"['Animation', ' Adventure', ' Comedy']",8.1,94,594921,356461711.0,81,95
About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",7.8,55,290826,15322921.0,78,123
Baywatch,2017,R,"['Action', ' Comedy', ' Crime']",5.5,37,156816,58060186.0,55,116
Clue,1985,,"['Comedy', ' Crime', ' Mystery']",7.3,39,79229,14643997.0,73,94
Cars,2006,,"['Animation', ' Comedy', ' Family']",7.1,73,359091,244082982.0,71,117
